text_baku,label_sentimen
"Sangat senang naik KRL sekarang, bersih, sejuk, dan aman sekali.",Positif
"Terima kasih KAI, pelayanan gerbong khusus wanita sangat tertib dan nyaman.",Positif
Pembangunan IKN Nusantara berjalan sangat lancar dan memberikan harapan pemerataan.,Positif
Fasilitas stasiun Manggarai sekarang sudah jauh lebih baik dan tertata rapi.,Positif
"Naik Transjakarta hari ini sangat lancar, bus bersih dan sopir mengemudi dengan aman.",Positif
Apresiasi setinggi-tingginya untuk petugas MRT Jakarta yang selalu ramah membantu penumpang.,Positif
"Layanan LRT Jabodebek cepat sekali, waktu tempuh memangkas kemacetan secara signifikan.",Positif
Integrasi tarif antar-moda transportasi di Jakarta sangat memudahkan dan menghemat biaya.,Positif
IKN Nusantara akan menjadi simbol kemajuan teknologi dan keramahan lingkungan Indonesia.,Positif
Sangat nyaman menggunakan Commuter Line di akhir pekan bersama keluarga.,Positif
Petugas keamanan di KRL sangat responsif dan sigap menjaga kenyamanan penumpang.,Positif
"Proyek MRT fase baru berjalan tepat waktu, sangat tidak sabar menantikannya selesai.",Positif
Penggunaan sistem pembayaran non-tunai di halte Transjakarta sangat praktis dan cepat.,Positif
Bus listrik Transjakarta sangat ramah lingkungan dan getarannya sangat halus.,Positif
Jalur sepeda di Jakarta sudah mulai rapi dan aman digunakan oleh warga.,Positif
Pembangunan infrastruktur jalan tol di luar Jawa mempermudah distribusi barang.,Positif
Stasiun KRL kini dilengkapi lift dan eskalator yang sangat ramah disabilitas.,Positif
"Desain arsitektur stasiun kereta cepat sangat megah, modern, dan membanggakan.",Positif
Sistem pendingin udara di gerbong kereta bekerja dengan sangat baik dan sejuk.,Positif
Aplikasi pemantauan posisi bus Transjakarta sangat akurat dan membantu perencanaan perjalanan.,Positif
Sangat puas dengan ketepatan waktu kereta bandara hari ini.,Positif
Keamanan di halte Transjakarta sangat terjamin dengan adanya petugas patroli.,Positif
Integrasi stasiun KRL dengan stasiun LRT membuat transit menjadi sangat mudah.,Positif
Layanan kereta api jarak jauh sekarang sudah setara dengan pelayanan pesawat terbang.,Positif
Kebijakan insentif kendaraan listrik sangat bagus untuk mengurangi polusi udara.,Positif
Sangat menikmati perjalanan dengan pemandangan indah sepanjang jalur LRT.,Positif
Sosialisasi etika berkendara di transportasi umum sangat bagus dan dipatuhi warga.,Positif
Pelayanan ruang menyusui di stasiun MRT sangat bersih dan terawat.,Positif
"Kereta cepat Jakarta-Bandung sangat revolusioner, cepat, dan nyaman sekali.",Positif
Area parkir sepeda di stasiun commuter line aman dan tertata dengan baik.,Positif
Perpanjangan rute Transjakarta ke wilayah penyangga sangat membantu komuter.,Positif
Sistem pencahayaan di stasiun KRL dimalam hari sangat terang dan membuat aman.,Positif
Proses pengembalian dana tiket kereta yang batal sangat cepat dan mudah.,Positif
Program tarif khusus bagi pelajar dan lansia di Transjakarta sangat membantu masyarakat.,Positif
Informasi suara di dalam gerbong KRL sangat jelas dan multibahasa.,Positif
Pembangunan trotoar ramah pejalan kaki di pusat kota sangat nyaman untuk berjalan kaki.,Positif
Fasilitas pengisian daya baterai gawai di stasiun sangat membantu saat darurat.,Positif
Sangat menyukai kebersihan toilet stasiun MRT yang selalu terjaga wangi.,Positif
Uji coba rute baru LRT berjalan lancar dan disambut antusias oleh warga sekitar.,Positif
Kondisi jalan raya di sekitar IKN sangat mulus dan tertata dengan indah.,Positif
Pelatihan pelayanan bagi pengemudi mikrotrans membuat perjalanan semakin ramah.,Positif
Informasi rute di halte busway sangat mudah dipahami bahkan untuk pemula.,Positif
Pelayanan kereta kesehatan gratis di daerah terpencil sangat membantu masyarakat.,Positif
Pemasangan kamera pemantau di setiap gerbong KRL meningkatkan rasa aman warga.,Positif
Petugas kebersihan stasiun bekerja tanpa lelah menjaga lingkungan tetap bersih.,Positif
Digitalisasi tiket membuat antrean di loket stasiun berkurang drastis.,Positif
Program mudik gratis naik kereta api sangat membantu warga yang ingin pulang kampung.,Positif
"Sistem drainase di sekitar jalur kereta sangat bagus, tidak ada banjir lagi.",Positif
Stasiun transit sekarang memiliki banyak pilihan tempat makan yang bersih.,Positif
Ketertiban penumpang saat mengantre masuk gerbong KRL patut diacungi jempol.,Positif
Jadwal bus listrik sangat konsisten dan membantu mengurangi polusi suara.,Positif
Pembangunan jembatan penyeberangan orang yang estetis menambah keindahan kota.,Positif
Kereta wisata menawarkan pengalaman perjalanan yang sangat berkesan dan mewah.,Positif
Layanan pelanggan KAI di media sosial sangat cepat dalam menjawab keluhan.,Positif
Langkah pemerintah memperluas transportasi publik sangat tepat untuk masa depan.,Positif
Fasilitas penitipan barang di stasiun besar sangat praktis bagi pelancong.,Positif
Ketepatan waktu LRT Jabodebek patut dicontoh oleh moda transportasi lainnya.,Positif
Penggunaan panel surya di atap halte busway menunjukkan komitmen hijau yang baik.,Positif
Petugas medis di stasiun transit sangat sigap menolong penumpang yang pingsan.,Positif
Sangat nyaman berjalan kaki di trotoar sepanjang jalan Sudirman-Thamrin.,Positif
Program subsidi tarif komuter sangat meringankan beban pengeluaran bulanan.,Positif
Peluncuran gerbong restorasi dengan menu baru membuat perjalanan jarak jauh menyenangkan.,Positif
Peta integrasi transportasi yang dipasang di stasiun sangat jelas bagi turis.,Positif
Kenyamanan kursi penumpang di gerbong kelas ekonomi kini jauh lebih baik.,Positif
Sistem tiket masuk stasiun menggunakan pemindai wajah sangat modern dan cepat.,Positif
Pagar pembatas jalur sepeda melindungi pesepeda dari kendaraan bermotor.,Positif
Pembangunan pelabuhan baru mempermudah akses transportasi laut antar pulau.,Positif
Apresiasi kebijakan zonasi bebas emisi kendaraan di kawasan wisata sejarah.,Positif
Ruang tunggu stasiun yang luas membuat penumpang tidak perlu berdesakan.,Positif
Sangat bangga melihat produk kereta buatan dalam negeri digunakan secara luas.,Positif
"KRL selalu telat setiap pagi, transit di Manggarai sangat kacau dan berdesakan.",Negatif
"AC di gerbong KRL mati siang ini, panas sekali seperti di dalam oven.",Negatif
"Sangat kecewa dengan Transjakarta, antrean panjang sekali dan bus jarang datang.",Negatif
IKN Nusantara hanya membuang anggaran negara di saat rakyat sedang kesulitan ekonomi.,Negatif
"Eskalator di stasiun Manggarai rusak lagi, sangat menyusahkan ibu hamil dan lansia.",Negatif
"Pintu otomatis gerbong KRL sering macet, sangat membahayakan keselamatan penumpang.",Negatif
"Aplikasi pemantau Transjakarta sering error, jadwal yang tertera tidak sesuai kenyataan.",Negatif
Sopir mikrotrans mengemudi dengan ugal-ugalan dan sering berhenti sembarangan.,Negatif
"Fasilitas toilet di stasiun commuter line sangat kotor, bau pesing dan tidak ada air.",Negatif
Tarif LRT Jabodebek terlalu mahal untuk jarak tempuh yang relatif pendek.,Negatif
"Waktu tunggu bus Transjakarta di halte transit bisa sampai satu jam, sangat melelahkan.",Negatif
Pembangunan proyek di IKN merusak ekosistem hutan alam setempat.,Negatif
"Banyak copet berkeliaran di gerbong KRL yang padat, keamanan sangat minim.",Negatif
Sistem pembayaran tap-in sering macet membuat antrean mengular panjang.,Negatif
Jalur sepeda di jalan raya sering diserobot sepeda motor dan tempat parkir liar.,Negatif
Sangat kesal dengan penumpukan penumpang di tangga darurat stasiun.,Negatif
Kurangnya kursi tunggu di halte membuat penumpang harus berdiri lama saat lelah.,Negatif
"Atap stasiun bocor saat hujan deras, membuat peron menjadi sangat licin.",Negatif
Pelayanan petugas stasiun sangat kasar dan tidak membantu saat ditanya rute alternatif.,Negatif
Gerbong khusus wanita sering dimasuki penumpang pria tanpa ada teguran dari petugas.,Negatif
Suara pengeras suara di gerbong sangat cempreng dan memekakkan telinga.,Negatif
Pembangunan infrastruktur jalan tol merugikan lahan pertanian produktif milik warga.,Negatif
"Jadwal perjalanan malam KRL terlalu sedikit, komuter lembur kesulitan pulang.",Negatif
"Banyak lubang di sepanjang jalan raya menuju stasiun, sangat rawan kecelakaan.",Negatif
Layanan kompensasi keterlambatan kereta tidak jelas dan berbelit-belit.,Negatif
"Lampu penerangan di sekitar peron stasiun redup, terasa sangat menyeramkan dimalam hari.",Negatif
Fasilitas ramah disabilitas di halte busway hanya pajangan dan tidak bisa digunakan.,Negatif
Desain tangga transit stasiun terlalu curam dan melelahkan bagi lansia.,Negatif
"Tiket kereta cepat terlalu mahal, hanya bisa dinikmati golongan masyarakat mampu.",Negatif
Pelayanan makanan di dalam kereta jarak jauh harganya selangit namun rasanya hambar.,Negatif
"Sistem ventilasi udara di stasiun bawah tanah kurang optimal, terasa pengap sekali.",Negatif
Antrean pembelian tiket di stasiun commuter line sangat panjang karena mesin tiket rusak.,Negatif
Pembangunan jalan layang menyebabkan kemacetan parah selama berbulan-bulan tanpa solusi.,Negatif
Halte busway yang terbakar setahun lalu sampai sekarang belum diperbaiki sepenuhnya.,Negatif
"Jalur khusus busway banyak diserobot kendaraan pribadi, polisi kurang tegas.",Negatif
Petugas loket tidak ramah dan lambat sekali melayani penukaran kartu yang rusak.,Negatif
Rencana pemindahan ibu kota ke IKN terkesan sangat terburu-buru dan dipaksakan.,Negatif
Sangat tidak nyaman dengan bau asap rokok di sekitar area luar stasiun.,Negatif
Tarif integrasi transportasi umum masih sulit diterapkan secara merata di lapangan.,Negatif
Sering terjadi gesekan antar penumpang di dalam gerbong KRL karena saling dorong.,Negatif
